Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
6.8	0.0003638261	0.0136298422	0.0483961471	6.1947068265	0.0630425327
6.9	0.0003652721	0.0151024811	0.0506900214	6.4883227417	0.0628507866
7	0.0003630102	0.0157142857	0.0510019609	6.5282509994	0.063258783
7.1	0.0003629927	0.0171184023	0.0522980987	6.6941566393	0.0632952869
7.2	0.0003661197	0.0214899713	0.051366616	6.5749268522	0.0629288748
7.3	0.0003683511	0.0306923626	0.0532770152	6.8194579452	0.0629884162
7.4	0.0003671188	0.0305723427	0.0509446269	6.5209122402	0.0632041157
7.5	0.000369179	0.0355998576	0.050247885	6.4317292819	0.0628815772
7.6	0.0003713463	0.0411493437	0.0767137083	9.8193546597	0.063323432
7.7	0.0003749228	0.052407932	0.0576991096	7.3854860258	0.0630497864
7.8	0.0003763178	0.0552603613	0.0603795274	7.7285795055	0.0628997544
7.9	0.0003826507	0.0684004275	0.0589988868	7.5518575135	0.062259385
8	0.000390314	0.0819964349	0.0713157288	9.1284132863	0.0621317754
8.1	0.0003948439	0.0935046395	0.0621250662	7.9520084773	0.0617932344
8.2	0.0003990987	0.1037195994	0.0571564031	7.3160195995	0.0613078485
8.3	0.0004111536	0.1263913824	0.0596232003	7.631769641	0.0608465067
8.4	0.0004141221	0.1412268188	0.0630376872	8.0688239657	0.0608982026
8.5	0.0004296178	0.1693577323	0.0762621248	9.7615519807	0.0599395591
8.6	0.000437455	0.1912236889	0.0761397609	9.7458893949	0.0601048516
8.7	0.000456661	0.2238912732	0.0967330969	12.3818364081	0.0598119492
8.8	0.000469724	0.2515227517	0.0790005379	10.1120688489	0.0591901773
8.9	0.0004834184	0.2828571429	0.0797483048	10.2077830149	0.0591646138
9	0.0005046184	0.3089605735	0.0953285955	12.2020602222	0.0593108209
9.1	0.0005300602	0.3597276962	0.1031927963	13.2086779292	0.0593404146
9.2	0.0005572757	0.3984235041	0.1007172024	12.8918019109	0.0598776393
9.3	0.0005915843	0.4194244604	0.125372432	16.0476712897	0.059896396
9.4	0.0005975421	0.4515434314	0.1013352911	12.9709172596	0.0600341817
9.5	0.0006269186	0.4881889764	0.1198503291	15.3408421215	0.0601837507
9.6	0.0006613565	0.5353426624	0.1201614655	15.3806675777	0.0600732916
9.7	0.0006845224	0.5727532097	0.1275209766	16.3226850071	0.061180244
9.8	0.0007072104	0.6116229624	0.1248297759	15.9782113114	0.0623022841
9.9	0.0007239629	0.6531771388	0.1239985587	15.8718155079	0.0604297873
10	0.0007792876	0.6902905741	0.1423443796	18.2200805885	0.0648807421
10.1	0.0008282131	0.7419010324	0.1406606702	18.0045657912	0.0643413178
10.2	0.0008420554	0.7738478028	0.1426013749	18.2529759913	0.065057985
10.3	0.0008821845	0.8218104063	0.1385420586	17.7333835023	0.0657709431
10.4	0.000932965	0.8806290207	0.1488118675	19.0479190395	0.0662666347
10.5	0.0009837383	0.9117541979	0.1479300836	18.9350506948	0.068850228
10.6	0.0010148895	0.940207662	0.1623293464	20.7781563332	0.0705217788
10.7	0.0010186973	0.9678800857	0.1548649041	19.8227077306	0.0695199367
10.8	0.0010715552	1.0146585627	0.1556227673	19.9197142112	0.0721609452
10.9	0.0010824826	1.0395721925	0.1331178898	17.0390898904	0.0718377378
11	0.0011278123	1.0768136558	0.1344742426	17.2127030543	0.0728927067
