# t/tauB rate Stress_mPa
1.870000000000000000e+02 8.342455928428523654e-03 -1.406368330967670555e-01
1.880000000000000000e+02 8.941653830258857252e-03 5.579128583196373697e-02
1.890000000000000000e+02 8.299222651995943542e-03 -1.553507504239276527e-01
1.900000000000000000e+02 9.103510283594950028e-03 1.065940268755846410e-01
1.910000000000000000e+02 9.495682081573142419e-03 2.260348978592608693e-01
1.920000000000000000e+02 8.733460774391844234e-03 -1.092477593059910934e-02
1.930000000000000000e+02 6.854189295479231475e-03 -6.970963646170965644e-01
1.940000000000000000e+02 8.214391911983347921e-03 -1.844459437017598180e-01
1.950000000000000000e+02 8.220502901353964748e-03 -1.823399797453606197e-01
1.960000000000000000e+02 7.545907367481971204e-03 -4.248234767384231891e-01
1.970000000000000000e+02 8.304908794305204678e-03 -1.534111695478424520e-01
1.980000000000000000e+02 8.550488599348534530e-03 -7.088518733655645165e-02
1.990000000000000000e+02 8.066306519647747225e-03 -2.359637640273171688e-01
2.000000000000000000e+02 8.532801418439716484e-03 -7.674918209910286393e-02
2.010000000000000000e+02 9.388283126963593156e-03 1.938228853184668365e-01
2.020000000000000000e+02 8.166432636168797707e-03 -2.010282301608295463e-01
2.030000000000000000e+02 9.321346989904943925e-03 1.735598915479331372e-01
2.040000000000000000e+02 7.840106007067138005e-03 -3.165121673201634067e-01
2.050000000000000000e+02 7.990573332842360391e-03 -2.626774987692589436e-01
2.060000000000000000e+02 8.771929824561403022e-03 1.521707672469625522e-03
2.070000000000000000e+02 8.179507018901292781e-03 -1.964980266747737847e-01
2.080000000000000000e+02 8.158765159867695585e-03 -2.036883446998319080e-01
2.090000000000000000e+02 8.634626690182245837e-03 -4.315517978311751712e-02
2.100000000000000000e+02 7.846300505976388021e-03 -3.142755635516882307e-01
2.110000000000000000e+02 7.720171234129743001e-03 -3.601680427671902773e-01
2.120000000000000000e+02 8.749130578028334326e-03 -5.848278406070417032e-03
2.130000000000000000e+02 8.167002380516388826e-03 -2.008306657057651601e-01
2.140000000000000000e+02 7.872285892131375418e-03 -3.049124045473190492e-01
2.150000000000000000e+02 9.266014883992411758e-03 1.566995238100290233e-01
2.160000000000000000e+02 8.127414534587068529e-03 -2.145910390167791171e-01
2.170000000000000000e+02 8.816992749662987128e-03 1.603237570123057509e-02
2.180000000000000000e+02 7.668544430310739526e-03 -3.791692330670091704e-01
