Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
27.8333333333	0.0049266978	2.9570713093	0.2485036693	50.1977412017	0.1585740893
28	0.0052051315	2.9318859597	0.2885151044	58.280051082	0.1743264754
28.1666666667	0.0052104116	2.9332377881	0.2811890125	56.8001805236	0.1708653663
28.3333333333	0.0050505315	2.9300940812	0.2828324863	57.1321622373	0.1680156613
28.5	0.0050016161	2.9228387711	0.2402319265	48.5268491459	0.1634267647
28.6666666667	0.0051854586	2.837671557	0.2970525175	60.0046085259	0.173224344
28.8333333333	0.005110142	2.8028554432	0.2779986447	56.1557262367	0.1669532679
29	0.0047338483	2.7674501849	0.262848412	53.0953792245	0.1544402935
29.1666666667	0.0046263576	2.7525883613	0.2401459284	48.509477539	0.1538088817
29.3333333333	0.0047694326	2.7686424474	0.3202825807	64.6970813079	0.1605697103
29.5	0.0049337511	2.7534705601	0.3212226467	64.8869746301	0.1724713435
29.6666666667	0.004561397	2.742754491	0.2656505749	53.6614161202	0.1614815586
29.8333333333	0.0044772516	2.7487401008	0.2692898593	54.3965515713	0.1536125571
30	0.0049499881	2.721894914	0.2913175649	58.8461481068	0.1683498229
30.1666666667	0.0051704012	2.708123652	0.2813593758	56.834593916	0.1680588687
30.3333333333	0.0049303143	2.6699424736	0.2667423275	53.8819501471	0.157944716
30.5	0.0048040799	2.6598851125	0.2914728813	58.8775220189	0.1564902014
30.6666666667	0.0053002516	2.6203670385	0.3512350211	70.9494742546	0.1700750455
30.8333333333	0.004567804	2.5893650222	0.2682792984	54.1924182716	0.1506470744
31	0.0043565074	2.588985089	0.2839844636	57.3648616432	0.1564355467
31.1666666667	0.0045212572	2.571566149	0.2739542919	55.3387669541	0.154720989
31.3333333333	0.0043358469	2.5294543699	0.2702702512	54.5945907504	0.1510352141
31.5	0.0043860293	2.5431417257	0.2698021731	54.5000389624	0.1511505192
31.6666666667	0.0047319063	2.5191797346	0.3597489126	72.6692803414	0.1613963526
31.8333333333	0.004270909	2.5139222276	0.2376666077	48.008654757	0.1435593247
32	0.0040119617	2.4763501377	0.2367860426	47.8307806067	0.1429587354
32.1666666667	0.0039618687	2.448308947	0.2427363169	49.0327360097	0.1377350821
32.3333333333	0.0035955071	2.4436424877	0.2278837177	46.0325109669	0.1295632334
32.5	0.0041167372	2.4348867857	0.2868592112	57.9455606697	0.148653455
32.6666666667	0.0039058499	2.4228915663	0.2446016096	49.4095251452	0.1346598735
32.8333333333	0.0036429274	2.4342925659	0.2677684857	54.0892341039	0.1346014077
33	0.0039329598	2.4159749789	0.2682674469	54.1900242717	0.1414408857
33.1666666667	0.0042993564	2.4132628544	0.2821410933	56.9925008441	0.1459767202
33.3333333333	0.0044238456	2.3979321952	0.2681795228	54.1722636049	0.1461396603
33.5	0.004185015	2.3937328071	0.2670013243	53.9342675089	0.1374115289
33.6666666667	0.0041118596	2.3714114114	0.2636710048	53.261542972	0.1406272422
