Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
57.0333333333	0.6141914374	5.9235465389	0.988911704	199.7601642057	0.5888856274
57.5333333333	0.6171305339	5.8997545781	0.9903697139	200.0546822075	0.6439570036
58.0333333333	0.6151564013	5.9260922444	0.9904228593	200.0654175688	0.6616939371
58.5333333333	0.6071516793	5.9350927912	0.9889458648	199.767064698	0.6609010595
59.0333333333	0.6052254151	5.9471234407	0.9895434347	199.887773815	0.6662119807
59.5333333333	0.4989505379	5.931015143	0.9509493517	192.0917690391	0.6337854847
60.0333333333	0.5802774062	5.9464285714	0.9717391432	196.2913069225	0.6392022795
60.5333333333	0.4990789054	5.9232573412	0.9512371493	192.1499041568	0.6351914466
61.0333333333	0.5133967601	5.9504132231	0.954491532	192.8072894685	0.6355552981
61.5333333333	0.5026418577	5.9413686864	0.9555261487	193.0162820357	0.6433457308
62.0333333333	0.5091619657	5.9652823145	0.9545758259	192.8243168376	0.6246700563
62.5333333333	0.5050596585	5.9771247908	0.9550128812	192.9126019935	0.6275304964
63.0333333333	0.5789547401	5.9790040877	0.9763995842	197.2327160166	0.6434801993
63.5333333333	0.5764017325	5.9348576762	0.9759379593	197.1394677741	0.6400717492
64.0333333333	0.5824439994	5.9554851928	0.9760923616	197.1706570485	0.6379525682
64.5333333333	0.5829808616	5.9674630473	0.9757661384	197.1047599655	0.6376577331
65.0333333333	0.5886249556	5.9653318502	0.9772860637	197.4117848579	0.6541874973
65.5333333333	0.581866566	5.9796428241	0.9763667181	197.2260770591	0.6505463136
66.0333333333	0.5805456832	5.9825538233	0.976482473	197.2494595512	0.6498100482
66.5333333333	0.5790625177	5.9740115092	0.9777748743	197.5105246122	0.6518022923
67.0333333333	0.5788554012	5.985	0.9783165917	197.619951527	0.6635242281
67.5333333333	0.6556215099	5.9881492454	0.9952404126	201.0385633378	0.5899714951
68.0333333333	0.650220953	5.9824171756	0.9947892469	200.9474278822	0.5900465234
68.5333333333	0.6537503708	5.9802291205	0.994545271	200.8981447411	0.5879092027
69.0333333333	0.6477812761	5.9825158737	0.9956393413	201.1191469499	0.5906752476
69.5333333333	0.6470789339	5.9930256034	0.9951257648	201.015404481	0.5900154126
70.0333333333	0.6652747745	5.9744367816	1.0011879156	202.2399589573	0.5940619257
70.5333333333	0.6711762728	5.980765708	1.0024873378	202.502442229	0.5954083158
71.0333333333	0.6680100682	6.0032936871	1.0014129545	202.2854168132	0.5947605093
71.5333333333	0.6697139015	5.9838960564	1.001096417	202.221476226	0.59374477
72.0333333333	0.6681719041	6.0076754386	1.0003999282	202.0807854941	0.5924043817
72.5333333333	0.6680317853	5.9994513032	1.0000998734	202.0201744329	0.5914703373
73.0333333333	0.6702414431	5.9908900428	1.0004325283	202.0873707222	0.5930243556
73.5333333333	0.6738471558	6.0021762786	1.0017878715	202.3611500351	0.5947698965
74.0333333333	0.673999361	6.008892922	1.0012192991	202.246298428	0.5933975426
74.5333333333	0.6754980829	6.0151046406	1.0020492131	202.4139410532	0.5958030663
75.0333333333	0.6788855624	6.0067450551	1.0019249949	202.3888489789	0.5961922037
75.5333333333	0.6732047922	6.0137968594	1.0012189778	202.2462335135	0.5953473137
76.0333333333	0.6720333762	6.0177713301	1.001037445	202.2095638831	0.5965021034
76.5333333333	0.6982501127	6.0112308668	1.0060833639	203.2288394999	0.5969232377
77.0333333333	0.6827292625	6.0135648399	1.001332892	202.2692441898	0.5937281183
77.5333333333	0.7944021509	6.0041549995	1.0399816097	210.0762851692	0.602764422
78.0333333333	0.8006551884	6.0224028907	1.0421670546	210.5177450296	0.6058327768
78.5333333333	0.8079905379	6.0214144322	1.0405450775	210.1901056492	0.6024088703
79.0333333333	0.8077562931	6.0282424897	1.0412194576	210.3263304436	0.6042628753
79.5333333333	0.8067905292	6.0224860586	1.0405850047	210.1981709427	0.6032433198
80.0333333333	0.805842926	6.054305109	1.0397605777	210.0316367052	0.6030854395
80.5333333333	0.8161970834	6.0603632479	1.0438574861	210.8592121845	0.6083014354
81.0333333333	0.8077948146	6.0412610521	1.0419299136	210.4698425488	0.6057543912
81.5333333333	0.8187234986	6.0530768546	1.0456848251	211.2283346692	0.6101876212
82.0333333333	0.8268413481	6.0510774142	1.0513607611	212.3748737364	0.6187645152
82.5333333333	0.8215076333	6.0431884831	1.0492886759	211.9563125225	0.616803417
83.0333333333	0.8162247281	6.0409393	1.0477893148	211.6534415818	0.6148322044
83.5333333333	0.8277939794	6.0386696231	1.0525372502	212.612524549	0.6215586563
84.0333333333	0.8199928264	6.0587610619	1.0497297477	212.0454090415	0.6179651864
84.5333333333	0.8172470824	6.0635537117	1.0492399597	211.9464718694	0.6236575328
85.0333333333	0.8222318203	6.0491976724	1.0512890236	212.3603827606	0.6270422546
85.5333333333	0.8185059376	6.0513318046	1.0492797148	211.9545023874	0.6237070683
86.0333333333	0.8170058712	6.0420182841	1.0491067035	211.9195541096	0.6237024571
86.5333333333	0.8211555906	6.0610592997	1.0483496748	211.7666343195	0.621607274
87.0333333333	0.8223812834	6.0463803897	1.0483456184	211.7658149091	0.6219055941
87.5333333333	0.8167614345	6.037891413	1.0477936098	211.6543091825	0.6211142764
88.0333333333	0.8220943587	6.049486707	1.0488959406	211.8769800016	0.6222397142
88.5333333333	0.8168655527	6.0687297274	1.0492321628	211.944896888	0.6244010978
89.0333333333	0.8151924126	6.0256816183	1.0475157855	211.5981886808	0.6209947947
89.5333333333	0.8170392051	6.0723207267	1.0479632572	211.6885779594	0.621523177
90.0333333333	0.8197715809	6.0582066072	1.049132022	211.9246684422	0.623379592
90.5333333333	0.8206871075	6.0454982938	1.0487333505	211.844136794	0.6221520192
91.0333333333	0.8196642123	6.0739966919	1.0492850109	211.95557221	0.6235925238
91.5333333333	0.8256433995	6.0704078076	1.0522428302	212.5530517012	0.6277020221
92.0333333333	0.8181870102	6.0940563991	1.0486206351	211.8213682813	0.622667317
92.5333333333	0.8168325073	6.0749760807	1.0487722043	211.8519852711	0.6228712207
93.0333333333	0.8682057738	6.0680414165	1.0473590373	211.566525541	0.6045425437
93.5333333333	0.8719811104	6.0690614943	1.0480247883	211.7010072406	0.604862644
94.0333333333	0.8160335646	6.0841468683	1.0480946195	211.7151131409	0.6218976057
94.5333333333	0.8750650999	6.0860475162	1.0515089738	212.4048127107	0.6110163753
95.0333333333	0.8811859807	6.0914275838	1.0518092954	212.4654776726	0.6106472924
95.5333333333	0.8241185935	6.0949257853	1.0504687706	212.1946916652	0.6251496467
96.0333333333	0.8240918101	6.07907743	1.0501514281	212.1305884833	0.6250616289
96.5333333333	0.8130781779	6.0806228374	1.0483368559	211.7640448875	0.6230511191
97.0333333333	0.812219823	6.0950488205	1.0483631605	211.7693584169	0.6229663986
97.5333333333	0.8175283121	6.0941135913	1.048155736	211.7274586728	0.6222374138
98.0333333333	0.8141724282	6.1068977351	1.047737167	211.6429077381	0.621803618
98.5333333333	0.8723279486	6.0797730594	1.0492464062	211.9477740556	0.6072864423
99.0333333333	0.8152612095	6.1029852023	1.0481617885	211.7286812735	0.6227046591
99.5333333333	0.8783169734	6.0989217868	1.0523188334	212.5684043537	0.6122402458
100.0333333333	0.8740715193	6.0854525216	1.049695327	212.0384560555	0.6082954651
100.5333333333	0.8728788908	6.0973323106	1.0499820022	212.0963644492	0.6085271223
101.0333333333	0.872489745	6.1136034115	1.0503094484	212.1625085702	0.6090716836
101.5333333333	0.8764486213	6.1038694798	1.0526955725	212.6445056515	0.6125469742
102.0333333333	0.8197716212	6.0984194789	1.0502436336	212.1492139867	0.6254564543
102.5333333333	0.8753397222	6.1102308544	1.0518226213	212.4681694951	0.6108712417
103.0333333333	0.8759262618	6.0930113491	1.0515544369	212.4139962471	0.6108625926
103.5333333333	0.8759794462	6.0967494241	1.0521262864	212.529509859	0.6128144048
104.0333333333	0.8747803842	6.122985581	1.0516460048	212.4324929656	0.6121239501
104.5333333333	0.8756246867	6.1154140778	1.0530140714	212.7088424287	0.6146836286
105.0333333333	0.869246129	6.0885483184	1.0511981972	212.3420358405	0.6123140285
105.5333333333	0.8734380757	6.11386265	1.0526382508	212.6329266665	0.6141466325
106.0333333333	0.8678010988	6.1134643191	1.0506124079	212.2237063983	0.6110149469
106.5333333333	0.873552228	6.1054242476	1.0535670661	212.8205473488	0.6158020684
107.0333333333	0.8831786887	6.1284030193	1.0504935847	212.1997041113	0.6100719302
107.5333333333	0.8853785994	6.1138239047	1.0510650871	212.3151476019	0.6101858083
108.0333333333	0.8907072189	6.1192075504	1.0524984814	212.6046932369	0.6124655857
108.5333333333	0.8968662886	6.124033642	1.053367378	212.7802103568	0.6121460706
109.0333333333	0.9024701731	6.1130087518	1.0549894512	213.1078691337	0.6142042294
